number,value,datetime_start,datetime_complete,duration,params_attn_heads,params_batch_size,params_cnn_channels,params_drop_cls,params_drop_cnn,params_drop_lstm,params_fc_hidden,params_grad_clip,params_label_smoothing,params_lr,params_lstm_hidden,params_lstm_layers,params_weight_decay,state
0,0.8864741206748642,2026-03-18 06:43:48.190503,2026-03-18 06:54:40.008370,0 days 00:10:51.817867,2,32,128,0.3727780074568463,0.09127267288786131,0.3099025726528951,128,0.8899863008405067,0.031203728088487304,0.0001025350969016849,256,3,0.006351221010640704,COMPLETE
1,2.0017157563625965,2026-03-18 06:54:40.030582,2026-03-18 07:04:35.579469,0 days 00:09:55.548887,2,64,256,0.24881529393791155,0.20526990795364705,0.27606099749584057,256,1.785586096034029,0.03993475643167195,6.144543785587468e-05,256,3,2.9204338471814107e-05,COMPLETE
2,0.6005147269087789,2026-03-18 07:04:35.598469,2026-03-18 07:12:35.887846,0 days 00:08:00.289377,8,64,64,0.5314950036607717,0.1166031869068446,0.20853961270955837,256,0.9621361388138177,0.10934205586865593,4.993895014755656e-05,256,1,0.0004467752817973908,COMPLETE
3,0.20017157563625965,2026-03-18 07:12:35.907845,2026-03-18 07:20:08.589533,0 days 00:07:32.681688,4,64,128,0.3243929286862649,0.09926940745579475,0.12542334011440948,128,0.996789203835431,0.1544489538593315,2.4007683448156354e-05,128,2,0.0016172900811143157,COMPLETE
4,2.0589076351158138,2026-03-18 07:20:08.611007,2026-03-18 07:27:34.764670,0 days 00:07:26.153663,2,64,64,0.3641531692142519,0.2722699421778279,0.19971689165954998,64,1.9031929939237406,0.1521570097233795,0.0024806219351771013,64,1,7.742116473996259e-05,COMPLETE
5,0.31455533314269374,2026-03-18 07:27:34.783772,2026-03-18 07:31:20.934612,0 days 00:03:46.150840,8,32,256,0.2027808522124763,0.24540442977674792,0.4442922333025374,64,2.6786514754692945,0.1266807513020847,6.0538336093556843e-05,256,1,4.414536876494481e-06,PRUNED
6,0.1429796968830426,2026-03-18 07:31:20.955624,2026-03-18 07:34:19.585705,0 days 00:02:58.630081,4,32,128,0.5633063543866614,0.015443625374996805,0.2114585856946446,256,2.2575473972379445,0.10375812434867322,2.106265096461375e-05,128,1,2.2410971619109514e-05,PRUNED
7,0.22876751501286818,2026-03-18 07:34:19.606253,2026-03-18 07:38:05.931808,0 days 00:03:46.325555,8,64,256,0.4048372233197124,0.2032693085526847,0.10663513157114246,128,2.3205408715296487,0.04752750879847994,0.004573419197153427,256,1,9.294394155644998e-06,PRUNED
8,5.547612239062053,2026-03-18 07:38:05.952809,2026-03-18 07:45:35.742159,0 days 00:07:29.789350,8,32,64,0.3356119164194803,0.2701254171489991,0.35324058290930715,256,0.7836838031014727,0.0682132702100517,0.0007325212536639256,128,2,3.523233163198316e-05,COMPLETE
9,6.834429511009437,2026-03-18 07:45:35.762415,2026-03-18 07:53:03.682045,0 days 00:07:27.919630,2,32,64,0.3301598792637071,0.21365376640426076,0.19489963499872004,256,2.7463854713176983,0.032325742818922754,0.0024786753644700068,64,2,0.0013167465326936148,COMPLETE
