number,value,datetime_start,datetime_complete,duration,params_batch_size,params_channels,params_dropout,params_grad_clip,params_label_smoothing,params_lr,params_weight_decay,state
0,0.6291106662853875,2026-03-18 11:30:15.942916,2026-03-18 11:37:26.025235,0 days 00:07:10.082319,32,128,0.3124217733388137,0.8899863008405067,0.031203728088487304,0.0001025350969016849,0.006351221010640704,COMPLETE
1,0.17157563625965114,2026-03-18 11:37:26.046237,2026-03-18 11:44:41.329038,0 days 00:07:15.282801,32,128,0.1873687420594126,0.9585112746335845,0.03636499344142013,1.1364672700011174e-05,0.00757947995334801,COMPLETE
2,11.524163568773234,2026-03-18 11:44:41.347767,2026-03-18 11:52:00.218511,0 days 00:07:18.870744,64,256,0.11393512381599932,2.462939903482534,0.0912139968434072,0.0004480975918214954,3.6138942712165278e-06,COMPLETE
3,9.09350872176151,2026-03-18 11:52:00.237544,2026-03-18 11:59:16.654574,0 days 00:07:16.417030,64,256,0.23204574812188042,2.5209933702911527,0.19312640661491187,0.00043625993625605574,4.809461967501575e-06,COMPLETE
4,0.3431512725193023,2026-03-18 11:59:16.675657,2026-03-18 12:06:34.231005,0 days 00:07:17.555348,64,256,0.15545633665765812,2.156305710884955,0.05175599632000338,2.1348999901951964e-05,9.565499215943819e-05,COMPLETE
5,9.122104661138119,2026-03-18 12:06:34.250315,2026-03-18 12:13:49.662248,0 days 00:07:15.411933,32,128,0.19759909922897934,2.804685587557792,0.11957999576221703,0.004138851334163268,0.001260466458564947,COMPLETE
6,0.11438375750643409,2026-03-18 12:13:49.681588,2026-03-18 12:16:00.427635,0 days 00:02:10.746047,32,128,0.3960660809801553,1.8567402078956212,0.05618690193747616,0.00011195109511439825,1.2172958098369984e-05,PRUNED
7,3.28853302830998,2026-03-18 12:16:00.446158,2026-03-18 12:20:43.284915,0 days 00:04:42.838757,64,64,0.13476071785753893,2.3225179201024684,0.14137146876952342,0.0012141307774357361,6.235377135673162e-06,PRUNED
8,10.351730054332284,2026-03-18 12:20:43.303916,2026-03-18 12:28:01.474777,0 days 00:07:18.170861,32,256,0.2416644775485848,1.3129583050668676,0.062196464343132446,0.00213545417892913,0.0003113095956122125,COMPLETE
9,0.0,2026-03-18 12:28:01.493315,2026-03-18 12:30:12.038872,0 days 00:02:10.545557,32,64,0.13236742809799135,1.7344889909109769,0.1541934359909122,2.1027192106506217e-05,0.0007128188058401369,PRUNED
10,10.895052902487846,2026-03-18 12:30:12.058874,2026-03-18 12:37:29.718064,0 days 00:07:17.659190,64,256,0.1045390792514622,2.9502087742305796,0.09582437579578584,0.00038841608029128506,1.0567900894501666e-06,COMPLETE
11,11.781527023162711,2026-03-18 12:37:29.738064,2026-03-18 12:41:20.499161,0 days 00:03:50.761097,64,256,0.1085687194726029,2.9201008273103963,0.09264707440080977,0.0004769272280274233,1.3851267115435026e-06,COMPLETE
12,1.0008578781812982,2026-03-18 12:41:20.513163,2026-03-18 12:42:45.985329,0 days 00:01:25.472166,64,256,0.29590094804326406,2.636834499905646,0.08909083004288425,0.000829309756144788,1.1145028974432e-06,PRUNED
13,0.7148984844152131,2026-03-18 12:42:45.998329,2026-03-18 12:44:24.585833,0 days 00:01:38.587504,64,256,0.1031569919192489,2.986079253606118,0.11700441589671003,0.00013620059768524977,4.046283154159767e-05,PRUNED
14,0.7434944237918215,2026-03-18 12:44:24.600835,2026-03-18 12:45:29.625817,0 days 00:01:05.024982,64,256,0.1826062004190947,2.0917398197672252,0.004613164410570955,0.00028420723548646114,1.6319485322032044e-05,PRUNED
15,1.54418072633686,2026-03-18 12:45:29.639917,2026-03-18 12:46:44.868613,0 days 00:01:15.228696,64,256,0.2953683793126897,2.4283718485094785,0.0924229516802256,0.0008339320442398599,3.423030691479596e-06,PRUNED
16,0.057191878753217046,2026-03-18 12:46:44.883614,2026-03-18 12:47:49.822092,0 days 00:01:04.938478,64,64,0.1486263881748356,1.4384146830547324,0.07698982036689087,5.2303561666831416e-05,2.184581425269947e-06,PRUNED
17,1.2010294538175579,2026-03-18 12:47:49.836091,2026-03-18 12:48:54.304411,0 days 00:01:04.468320,64,256,0.3483361778372621,2.6859210306983696,0.12274945596912953,0.0017221884705054759,2.9276298881009777e-05,PRUNED
18,0.5719187875321704,2026-03-18 12:48:54.320078,2026-03-18 12:49:59.118681,0 days 00:01:04.798603,64,256,0.20751708543716257,1.953901125229661,0.16663780053184246,0.0002033449226117838,0.00012802856453918412,PRUNED
19,0.48613096940234485,2026-03-18 12:49:59.132681,2026-03-18 12:51:04.101676,0 days 00:01:04.968995,64,64,0.16685537382711785,2.30755129961964,0.07597688390998124,0.0005797269125192345,9.495046151130158e-06,PRUNED
20,11.695739205032885,2026-03-18 12:51:04.117267,2026-03-18 12:54:39.156162,0 days 00:03:35.038895,64,256,0.10197430378884506,2.7939423852296104,0.13513414713427827,0.004933772279741405,3.1974484334740703e-06,COMPLETE
21,12.153274235058621,2026-03-18 12:54:39.170844,2026-03-18 12:58:14.279250,0 days 00:03:35.108406,64,256,0.11822639891115419,2.7696593022527987,0.13794298166968094,0.004058956160077303,2.2255655118694635e-06,COMPLETE
22,11.181012296253932,2026-03-18 12:58:14.292643,2026-03-18 13:01:50.945677,0 days 00:03:36.653034,64,256,0.12561561069110927,2.840323898773035,0.13910571109886868,0.004736171481187242,1.9797873079882633e-06,COMPLETE
23,12.18187017443523,2026-03-18 13:01:50.961206,2026-03-18 13:05:30.247011,0 days 00:03:39.285805,64,256,0.1620877961628698,2.6405027305825186,0.1840508648296446,0.0033590603480730696,1.7893597577805648e-06,COMPLETE
24,12.725193022590792,2026-03-18 13:05:30.261011,2026-03-18 13:09:16.278582,0 days 00:03:46.017571,64,256,0.16225632675908344,2.6024356958480874,0.1769020938352708,0.002531698480391803,1.0018121455678128e-06,COMPLETE
25,13.297111810122962,2026-03-18 13:09:16.294859,2026-03-18 13:12:51.769005,0 days 00:03:35.474146,64,256,0.1646810417942201,2.6140638525443203,0.19567840355230712,0.0024975414806580995,1.9851381063929164e-05,COMPLETE
26,2.087503574492422,2026-03-18 13:12:51.783004,2026-03-18 13:14:06.916297,0 days 00:01:15.133293,64,256,0.20531421064718489,2.177082460104514,0.19949396569619468,0.0024307278186879717,2.6158277544099685e-05,PRUNED
27,5.547612239062053,2026-03-18 13:14:06.930296,2026-03-18 13:16:05.107918,0 days 00:01:58.177622,64,256,0.17305300348035832,1.5364793914873438,0.17500330852765825,0.0027618195550192627,4.913485113496911e-05,PRUNED
28,1.1724335144409495,2026-03-18 13:16:05.122915,2026-03-18 13:17:10.114713,0 days 00:01:04.991798,64,128,0.22576147998972468,2.5873605962864743,0.17752980193413492,0.001303345704559367,7.582404453145971e-06,PRUNED
29,0.7434944237918215,2026-03-18 13:17:10.128400,2026-03-18 13:18:15.407132,0 days 00:01:05.278732,32,64,0.15379994763531052,0.5978764201383853,0.18577560322627787,0.0013228633294140714,0.0016871814891148344,PRUNED
30,1.0294538175579069,2026-03-18 13:18:15.422095,2026-03-18 13:19:20.398825,0 days 00:01:04.976730,64,128,0.25784915571232797,2.320907758163619,0.1598410629197936,0.0033168834493068166,8.170501570391044e-05,PRUNED
31,8.89333714612525,2026-03-18 13:19:20.412825,2026-03-18 13:21:51.300481,0 days 00:02:30.887656,64,256,0.14464078534019542,2.670246732576624,0.1860426870662797,0.0031189989077796266,2.278101615335449e-06,PRUNED
32,1.5727766657134687,2026-03-18 13:21:51.317638,2026-03-18 13:22:55.787440,0 days 00:01:04.469802,64,256,0.26242914188756283,2.7297055220562214,0.15133672828310316,0.0017808769775945787,5.99652130277598e-06,PRUNED
33,13.297111810122962,2026-03-18 13:22:55.802440,2026-03-18 13:26:30.293184,0 days 00:03:34.490744,64,256,0.1714301282964293,2.5105901291663297,0.17277358765548292,0.0009965732931797935,1.7675718449200787e-06,COMPLETE
34,1.5155847869602517,2026-03-18 13:26:30.309271,2026-03-18 13:27:34.654778,0 days 00:01:04.345507,64,256,0.18321807696973227,2.5470985890072995,0.1748539882869491,0.0008568994692938592,1.8599101134680087e-05,PRUNED
35,3.8032599370889333,2026-03-18 13:27:34.669556,2026-03-18 13:29:11.350017,0 days 00:01:36.680461,64,256,0.21706661362050442,2.4130285605017368,0.18927607730432253,0.001782479532047259,1.0080524989178682e-06,PRUNED
36,13.754646840148698,2026-03-18 13:29:11.364531,2026-03-18 13:32:46.812309,0 days 00:03:35.447778,32,256,0.16494005594528424,1.9849421025722749,0.19831392493342193,0.0011471646158473711,0.00481390023875689,COMPLETE
